datetime,prefecture,ret_offices,ret_employees,ret_sales
1994-01-01,愛媛県,26905 ,132820 ,4525313000000 
1997-01-01,愛媛県,25104 ,130524 ,4471156000000 
1999-01-01,愛媛県,25493 ,138094 ,4309380000000 
2002-01-01,愛媛県,23564 ,135797 ,3923283000000 
2004-01-01,愛媛県,22028 ,128642 ,3803532000000 
2007-01-01,愛媛県,19600 ,119974 ,3537416000000 
2012-01-01,愛媛県,18192 ,116230 ,3159458000000 
2014-01-01,愛媛県,17484 ,114993 ,3137330000000 
1988-01-01,高知県,17855 ,75368 ,1663399000000 
1991-01-01,高知県,17586 ,76910 ,1912179000000 
1994-01-01,高知県,16083 ,74469 ,1955553000000 
1997-01-01,高知県,15097 ,73950 ,1970614000000 
1999-01-01,高知県,15278 ,79592 ,1950568000000 
2002-01-01,高知県,13430 ,72645 ,1705016000000 
