datetime,prefecture,pop_male,pop_female,pop_sum,pop_households
2008-01-01,熊本県,871415,973229,1844644,718259
2008-01-01,大分県,575691,639697,1215388,500649
2008-01-01,宮崎県,548674,612352,1161026,493192
2008-01-01,鹿児島県,816260,922815,1739075,778579
2008-01-01,沖縄県,684806,706409,1391215,541444
2009-01-01,北海道,2631725,2911831,5543556,2637145
2009-01-01,青森県,673523,743755,1417278,567780
2009-01-01,岩手県,651160,704045,1355205,500973
2009-01-01,宮城県,1132994,1197904,2330898,899364
2009-01-01,秋田県,529279,589456,1118735,417941
2009-01-01,山形県,570832,614268,1185100,396212
2009-01-01,福島県,1005142,1058627,2063769,745762
2009-01-01,茨城県,1489299,1490340,2979639,1107164
2009-01-01,栃木県,998197,1005757,2003954,747665
2009-01-01,群馬県,992378,1016464,2008842,759967
2009-01-01,埼玉県,3576123,3520146,7096269,2870345
2009-01-01,千葉県,3073000,3051453,6124453,2540337
2009-01-01,東京都,6230681,6317577,12548258,6241989
2009-01-01,神奈川県,4462962,4385367,8848329,3887348
2009-01-01,新潟県,1165103,1236700,2401803,843516
2009-01-01,富山県,531887,569750,1101637,385637
2009-01-01,石川県,561519,603494,1165013,440424
2009-01-01,福井県,394276,418168,812444,270459
2009-01-01,山梨県,425777,441345,867122,333259
2009-01-01,長野県,1059179,1109747,2168926,809650
2009-01-01,岐阜県,1018127,1071286,2089413,738663
2009-01-01,静岡県,1864242,1909452,3773694,1428465
2009-01-01,愛知県,3623538,3594812,7218350,2862859
2009-01-01,三重県,904910,949140,1854050,718960
2009-01-01,滋賀県,681484,700837,1382321,503523
2009-01-01,京都府,1229651,1325999,2555650,1106903
2009-01-01,大阪府,4219995,4456627,8676622,3864118
2009-01-01,兵庫県,2689793,2896461,5586254,2321121
2009-01-01,奈良県,676434,738536,1414970,550523
2009-01-01,和歌山県,492683,546046,1038729,425943
2009-01-01,鳥取県,286230,312255,598485,225096
2009-01-01,島根県,347189,380604,727793,274839
2009-01-01,岡山県,937658,1006206,1943864,774399
2009-01-01,広島県,1383862,1475438,2859300,1217486
2009-01-01,山口県,696373,775342,1471715,640299
2009-01-01,徳島県,382551,418274,800825,317907
2009-01-01,香川県,489640,526900,1016540,407972
2009-01-01,愛媛県,693151,771156,1464307,626663
2009-01-01,高知県,365141,411939,777080,347669
2009-01-01,福岡県,2387702,2644168,5031870,2147845
2009-01-01,佐賀県,408430,453726,862156,307581
2009-01-01,長崎県,684219,774185,1458404,607465
2009-01-01,熊本県,868797,970512,1839309,724636
2009-01-01,大分県,573799,637243,1211042,504579
2009-01-01,宮崎県,545852,609992,1155844,496743
2009-01-01,鹿児島県,811139,917415,1728554,782188
2009-01-01,沖縄県,687889,709923,1397812,550420
2010-01-01,北海道,2618969,2901925,5520894,2654310
2010-01-01,青森県,667377,738158,1405535,571091
2010-01-01,岩手県,645922,699085,1345007,503139
2010-01-01,宮城県,1132240,1197104,2329344,906925
2010-01-01,秋田県,523940,584297,1108237,419270
2010-01-01,山形県,566781,609978,1176759,397683
2010-01-01,福島県,998942,1052684,2051626,749760
2010-01-01,茨城県,1489569,1489570,2979139,1121039
2010-01-01,栃木県,996502,1004272,2000774,753759
2010-01-01,群馬県,990601,1014185,2004786,766784
2010-01-01,埼玉県,3588368,3534716,7123084,2910960
2010-01-01,千葉県,3084888,3064911,6149799,2573718
2010-01-01,東京都,6255821,6354091,12609912,6296239
2010-01-01,神奈川県,4476728,4408730,8885458,3928288
2010-01-01,新潟県,1160033,1231058,2391091,849247
2010-01-01,富山県,529963,567773,1097736,388425
2010-01-01,石川県,560522,602428,1162950,444565
2010-01-01,福井県,392782,416683,809465,272292
2010-01-01,山梨県,424339,439871,864210,335689
2010-01-01,長野県,1055513,1106059,2161572,814404
2010-01-01,岐阜県,1014995,1068123,2083118,745569
2010-01-01,静岡県,1862426,1907259,3769685,1440680
2010-01-01,愛知県,3632381,3605231,7237612,2891553
2010-01-01,三重県,902510,947193,1849703,724893
2010-01-01,滋賀県,683318,703252,1386570,510070
2010-01-01,京都府,1227484,1324222,2551706,1116543
2010-01-01,大阪府,4221854,4461181,8683035,3901462
2010-01-01,兵庫県,2688838,2897344,5586182,2345254
2010-01-01,奈良県,674564,737151,1411715,555909
2010-01-01,和歌山県,489718,543061,1032779,428389
2010-01-01,鳥取県,284641,310690,595331,226434
2010-01-01,島根県,345066,378116,723182,276298
2010-01-01,岡山県,935420,1004029,1939449,780663
2010-01-01,広島県,1382471,1473837,2856308,1226633
2010-01-01,山口県,692736,771539,1464275,643004
2010-01-01,徳島県,379192,417705,796897,320344
2010-01-01,香川県,487577,525178,1012755,410801
2010-01-01,愛媛県,689999,767951,1457950,630260
2010-01-01,高知県,363212,409189,772401,349612
2010-01-01,福岡県,2391310,2647264,5038574,2175227
2010-01-01,佐賀県,407174,452226,859400,309659
2010-01-01,長崎県,680387,769640,1450027,611343
2010-01-01,熊本県,865885,967872,1833757,729603
2010-01-01,大分県,571782,635194,1206976,508207
2010-01-01,宮崎県,544397,608117,1152514,500694
2010-01-01,鹿児島県,808913,913492,1722405,786259
2010-01-01,沖縄県,692385,713791,1406176,559851
2011-01-01,北海道,2606676,2892240,5498916,2670572
2011-01-01,青森県,662430,733456,1395886,574712
2011-01-01,岩手県,641096,693718,1334814,505347
2011-01-01,宮城県,1127216,1191740,2318956,912225
2011-01-01,秋田県,518609,578979,1097588,420351
2011-01-01,山形県,562996,605756,1168752,399045
2011-01-01,福島県,991824,1044322,2036146,752754
2011-01-01,茨城県,1486528,1486646,2973174,1132370
2011-01-01,栃木県,994133,1001768,1995901,760385
2011-01-01,群馬県,987671,1010887,1998558,772913
2011-01-01,埼玉県,3594851,3546078,7140929,2944273
2011-01-01,千葉県,3089444,3072477,6161921,2599887
2011-01-01,東京都,6275193,6387268,12662461,6344540
2011-01-01,神奈川県,4481050,4425540,8906590,3962170
2011-01-01,新潟県,1153973,1224880,2378853,854420
2011-01-01,富山県,527854,565031,1092885,391022
2011-01-01,石川県,559359,600847,1160206,448539
