datetime,prefecture,wag_age,wag_salary,wag_bonus,wag_workers
2016-01-01,青森県,43.3,257200,568400,208660
2016-01-01,岩手県,43.3,256800,539500,239570
2016-01-01,宮城県,42.7,313000,798500,399430
2016-01-01,秋田県,44.0,262400,560300,191370
2016-01-01,山形県,42.8,262800,561200,216590
2016-01-01,福島県,42.5,287000,664800,334690
2016-01-01,茨城県,42.4,339500,953200,451170
2016-01-01,栃木県,42.3,323900,873000,384150
2016-01-01,群馬県,42.3,315100,825000,319120
2016-01-01,埼玉県,42.4,329600,744500,983700
2016-01-01,千葉県,42.9,330500,765800,745800
2016-01-01,東京都,41.4,403400,1219100,4151140
2016-01-01,神奈川県,42.1,369200,1012400,1293490
2016-01-01,新潟県,42.6,283900,681100,461190
2016-01-01,富山県,43.0,307500,828400,215190
2016-01-01,石川県,42.6,299500,759200,220610
2016-01-01,福井県,42.5,296000,750800,165680
2016-01-01,山梨県,42.8,311400,876100,128390
2016-01-01,長野県,42.3,310200,770100,378480
2016-01-01,岐阜県,42.4,310000,841400,317580
2016-01-01,静岡県,42.5,321100,871500,643850
2016-01-01,愛知県,41.3,354000,1114500,1635330
2016-01-01,三重県,41.9,332400,894300,313470
2016-01-01,滋賀県,41.7,331200,943900,236090
2016-01-01,京都府,42.4,337100,896500,359230
2016-01-01,大阪府,42.1,357100,980100,1590300
2016-01-01,兵庫県,42.2,330000,888000,867400
2016-01-01,奈良県,42.3,323300,795500,143760
2016-01-01,和歌山県,42.0,301700,731600,120200
2016-01-01,鳥取県,42.8,269500,615900,89020
2016-01-01,島根県,42.3,274600,676000,121380
2016-01-01,岡山県,42.0,308200,783200,365960
2016-01-01,広島県,42.3,319800,808400,491690
2016-01-01,山口県,43.0,301500,820400,234740
2016-01-01,徳島県,42.8,291600,825900,115710
2016-01-01,香川県,42.7,297700,765600,179080
2016-01-01,愛媛県,42.9,285200,725400,221490
2016-01-01,高知県,43.2,276300,648300,94460
2016-01-01,福岡県,42.0,305100,710200,1004050
2016-01-01,佐賀県,43.0,272700,622400,136190
2016-01-01,長崎県,43.1,277200,647300,225890
2016-01-01,熊本県,42.7,277200,620700,316400
2016-01-01,大分県,42.6,276700,662900,191940
2016-01-01,宮崎県,42.8,255600,610900,161620
2016-01-01,鹿児島県,42.7,269200,613700,263050
2016-01-01,沖縄県,42.0,253400,458000,207220
2017-01-01,北海道,43.4,288600,687900,992450
2017-01-01,青森県,43.6,254900,535800,197460
2017-01-01,岩手県,43.6,260700,590100,243830
2017-01-01,宮城県,42.7,311000,780600,378600
2017-01-01,秋田県,44.2,261700,594900,189320
2017-01-01,山形県,43.0,270400,617800,213390
2017-01-01,福島県,43.0,289600,671500,368470
2017-01-01,茨城県,42.7,332800,895300,454520
2017-01-01,栃木県,42.7,329100,836000,357740
2017-01-01,群馬県,42.7,313800,835300,310840
2017-01-01,埼玉県,42.5,327500,795600,993840
2017-01-01,千葉県,42.2,338600,799600,778590
2017-01-01,東京都,42.0,407000,1271600,3836160
2017-01-01,神奈川県,42.6,362800,965400,1312000
2017-01-01,新潟県,42.9,284200,640600,437420
2017-01-01,富山県,42.9,294000,749300,199170
2017-01-01,石川県,42.9,305000,794300,220780
2017-01-01,福井県,42.8,298500,781700,162230
2017-01-01,山梨県,43.0,309800,857000,126730
2017-01-01,長野県,43.0,303900,770100,380210
2017-01-01,岐阜県,42.5,308300,766400,307390
2017-01-01,静岡県,43.2,323100,890900,722260
2017-01-01,愛知県,41.6,357800,1105000,1668260
2017-01-01,三重県,42.2,333500,909400,325510
2017-01-01,滋賀県,42.4,330100,878000,253590
2017-01-01,京都府,42.7,339900,908400,398110
2017-01-01,大阪府,42.3,355700,1014400,1439730
2017-01-01,兵庫県,42.6,328000,881500,901170
2017-01-01,奈良県,42.2,326200,786000,123650
2017-01-01,和歌山県,42.6,310000,813100,113290
2017-01-01,鳥取県,43.0,275700,656600,90760
2017-01-01,島根県,43.0,278200,703000,124150
2017-01-01,岡山県,42.8,298900,732500,347040
2017-01-01,広島県,42.7,330100,904900,479400
2017-01-01,山口県,43.2,303700,808700,232990
2017-01-01,徳島県,42.4,297600,833300,107150
2017-01-01,香川県,42.7,302800,784800,163830
2017-01-01,愛媛県,42.9,286200,713100,223990
2017-01-01,高知県,43.3,275900,632500,96740
2017-01-01,福岡県,42.4,310300,778100,1013060
2017-01-01,佐賀県,42.9,271500,657600,152450
2017-01-01,長崎県,43.1,278900,700200,207130
2017-01-01,熊本県,43.3,279000,664500,289630
2017-01-01,大分県,43.0,286000,689300,172800
2017-01-01,宮崎県,43.3,254900,598800,173430
2017-01-01,鹿児島県,43.9,269300,603600,250700
2017-01-01,沖縄県,42.0,261600,522700,190010
2018-01-01,北海道,44.1,294800,708600,847160
2018-01-01,青森県,44.0,262000,575100,177900
2018-01-01,岩手県,43.5,269000,610900,223450
2018-01-01,宮城県,42.9,312000,857500,390770
2018-01-01,秋田県,44.3,260000,591600,174910
2018-01-01,山形県,43.6,267500,619200,214160
2018-01-01,福島県,44.1,295000,675900,334670
2018-01-01,茨城県,42.5,335100,963200,476210
2018-01-01,栃木県,43.4,331700,904000,332630
2018-01-01,群馬県,43.5,312700,808700,367840
2018-01-01,埼玉県,43.1,336400,841100,938890
2018-01-01,千葉県,42.9,340300,796600,770170
2018-01-01,東京都,42.2,410800,1293300,3415540
2018-01-01,神奈川県,43.1,373500,1050000,1108690
2018-01-01,新潟県,43.5,287500,656800,431590
2018-01-01,富山県,43.1,307700,782200,221500
2018-01-01,石川県,43.0,304900,822900,215170
2018-01-01,福井県,43.3,295900,745200,147430
2018-01-01,山梨県,44.2,309500,847200,113220
2018-01-01,長野県,43.2,303700,813000,387440
2018-01-01,岐阜県,43.0,324200,861400,318660
2018-01-01,静岡県,43.1,323800,912400,634470
2018-01-01,愛知県,41.6,365200,1163800,1560880
2018-01-01,三重県,42.8,338700,909700,299790
2018-01-01,滋賀県,41.9,332400,959300,222220
2018-01-01,京都府,42.7,331700,899700,381100
2018-01-01,大阪府,42.0,359200,1017200,1444370
2018-01-01,兵庫県,43.0,330300,939700,769850
2018-01-01,奈良県,42.9,329000,814300,117240
2018-01-01,和歌山県,42.8,302500,765800,115500
2018-01-01,鳥取県,43.2,273300,622600,92680
2018-01-01,島根県,43.6,277400,635900,115150
2018-01-01,岡山県,42.9,310400,783800,294840
2018-01-01,広島県,42.8,329700,909800,423790
2018-01-01,山口県,43.4,305300,868200,224860
2018-01-01,徳島県,43.5,289000,776100,110160
2018-01-01,香川県,42.8,310400,801400,166290
2018-01-01,愛媛県,43.5,280600,698600,224740
2018-01-01,高知県,44.2,276400,681900,111630
2018-01-01,福岡県,43.3,314100,823000,933850
2018-01-01,佐賀県,43.1,277400,683900,147450
2018-01-01,長崎県,43.9,276600,683100,188000
2018-01-01,熊本県,43.7,279900,719800,296050
2018-01-01,大分県,43.0,286900,715300,157780
2018-01-01,宮崎県,44.1,255300,591700,147270
2018-01-01,鹿児島県,43.1,274100,664500,242740
2018-01-01,沖縄県,43.3,265300,511200,193790
