datetime,prefecture,mig_in,mig_out,mig_internal
2006-05-01,広島県,3645,4031,5272
2006-05-01,山口県,1727,2061,1694
2006-05-01,徳島県,849,917,1035
2006-05-01,香川県,1388,1598,1016
2006-05-01,愛媛県,1529,1825,1609
2006-05-01,高知県,743,989,991
2006-05-01,福岡県,7903,8173,13569
2006-05-01,佐賀県,1226,1488,951
2006-05-01,長崎県,1673,2377,1671
2006-05-01,熊本県,2207,2492,2657
2006-05-01,大分県,1590,1701,1432
2006-05-01,宮崎県,1534,1699,1404
2006-05-01,鹿児島県,2219,2459,2441
2006-05-01,沖縄県,1958,1895,3480
2006-06-01,北海道,3233,3788,14177
2006-06-01,青森県,1123,1519,1244
2006-06-01,岩手県,1067,1365,1370
2006-06-01,宮城県,2573,2834,4409
2006-06-01,秋田県,757,941,775
2006-06-01,山形県,828,935,1007
2006-06-01,福島県,1604,1920,1829
2006-06-01,茨城県,3270,3238,3501
2006-06-01,栃木県,2393,2177,2189
2006-06-01,群馬県,1895,1958,2169
2006-06-01,埼玉県,10632,10590,11649
2006-06-01,千葉県,10319,9351,9495
2006-06-01,東京都,26732,23101,27452
2006-06-01,神奈川県,14361,14047,16738
2006-06-01,新潟県,1374,1658,1559
2006-06-01,富山県,876,898,875
2006-06-01,石川県,1062,1137,1267
2006-06-01,福井県,589,710,717
2006-06-01,山梨県,835,930,1097
